epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1956,0,126.257,0,0,0,0,0,0,193.712,0,0.000465256,0.000465256,0.000465256
2,107.566,0,97.78,0,0,0,0,0,0,178.518,0,0.000932267,0.000932267,0.000932267
3,157.768,0,78.3603,0,0,0,0,0,0,127.886,0,0.00138985,0.00138985,0.00138985
4,206.666,0,62.0911,0,0,0,0,0,0,517.342,0,0.00138656,0.00138656,0.00138656
5,248.698,0,47.4408,0,0,0,0,0,0,57.9956,0,0.00137241,0.00137241,0.00137241
6,298.075,0,34.9798,0,0,0,0,0,0,44.9119,0,0.00135826,0.00135826,0.00135826
7,339.116,0,24.9875,0,0,0,0,0,0,32.4289,0,0.00134412,0.00134412,0.00134412
8,372.362,0,17.4681,0,0,0,0,0,0,21.1885,0,0.00132997,0.00132997,0.00132997
9,419.076,0,11.9968,0,0,0,0,0,0,19.5871,0,0.00131582,0.00131582,0.00131582
10,452.177,0,8.04696,0,0,0,0,0,0,10.0916,0,0.00130168,0.00130168,0.00130168
11,485.041,0,5.30432,0,0,0,0,0,0,6.57948,0,0.00128753,0.00128753,0.00128753
