epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.829,1.71128,2.75106,1.27708,0.01798,0.49509,0.18036,0.10783,1.23337,3.22076,1.00694,0.000465256,0.000465256,0.000465256
2,202.417,1.36313,1.52561,1.06065,0.95916,0.0438,0.12629,0.07601,1.22108,2.59095,1.03395,0.000922946,0.000922946,0.000922946
3,306.538,1.3091,1.30717,1.06043,0.78351,0.13119,0.15779,0.08677,1.20992,1.72484,1.07712,0.00136177,0.00136177,0.00136177
4,409.173,1.2492,1.17715,1.04775,0.49409,0.1442,0.15958,0.10075,1.18686,1.5356,1.08924,0.00134412,0.00134412,0.00134412
5,520.87,1.25394,1.1634,1.05385,0.49958,0.13648,0.13161,0.08151,1.12503,1.45796,1.04313,0.00131582,0.00131582,0.00131582
6,640.016,1.20774,1.06071,1.02397,0.52997,0.14856,0.1744,0.11453,1.1302,1.29668,1.01672,0.00128753,0.00128753,0.00128753
7,758.688,1.19126,0.99583,1.01167,0.65366,0.15748,0.17734,0.1166,1.13101,1.00868,1.02104,0.00125923,0.00125923,0.00125923
8,876.881,1.22576,0.96779,1.02391,0.37548,0.1229,0.14007,0.0886,1.1721,0.98372,1.03673,0.00123094,0.00123094,0.00123094
9,996.318,1.23191,0.94894,1.02563,0.58658,0.18567,0.18738,0.11913,1.05169,0.97956,0.98648,0.00120265,0.00120265,0.00120265
10,1124.19,1.18274,0.90537,1.02563,0.40374,0.17074,0.15178,0.0973,1.13404,0.90375,1.03995,0.00117435,0.00117435,0.00117435
11,1252.26,1.16548,0.87843,1.02188,0.62692,0.14246,0.16356,0.10279,1.10148,0.88796,0.99904,0.00114606,0.00114606,0.00114606
12,1396.73,1.156,0.85184,0.99945,0.59714,0.18872,0.19541,0.12593,1.05471,0.83648,0.9898,0.00111776,0.00111776,0.00111776
13,1558.54,1.13502,0.81115,1.002,0.67704,0.16836,0.17951,0.12477,1.06837,0.79028,0.99712,0.00108947,0.00108947,0.00108947
14,1725.6,1.14352,0.79726,0.99404,0.75421,0.12732,0.15756,0.10263,1.17423,0.84811,1.04703,0.00106118,0.00106118,0.00106118
15,1894.07,1.14459,0.80049,0.99869,0.78906,0.14399,0.16764,0.1168,1.05912,0.78969,1.00389,0.00103288,0.00103288,0.00103288
16,2056.48,1.11982,0.76243,0.98161,0.82358,0.16697,0.18904,0.12988,1.06461,0.74459,1.00271,0.00100459,0.00100459,0.00100459
17,2217.15,1.0989,0.74579,0.98253,0.86558,0.16639,0.1982,0.14104,1.05089,0.72494,0.98897,0.000976293,0.000976293,0.000976293
18,2379.36,1.10466,0.7238,0.97588,0.48336,0.17888,0.19683,0.13053,1.04877,0.67943,0.98322,0.000947999,0.000947999,0.000947999
19,2518.19,1.09854,0.716,0.98199,0.66293,0.19072,0.19439,0.1407,1.03339,0.69991,0.98809,0.000919704,0.000919704,0.000919704
20,2675.71,1.07202,0.67695,0.96976,0.72641,0.18738,0.18986,0.13044,1.06319,0.66395,1.00804,0.00089141,0.00089141,0.00089141
21,2828.32,1.0865,0.68023,0.98293,0.85002,0.1707,0.19601,0.14443,1.02801,0.67819,0.99309,0.000863116,0.000863116,0.000863116
22,2991.22,1.05903,0.67663,0.97318,0.86823,0.17309,0.21735,0.15365,1.0217,0.67408,0.97266,0.000834822,0.000834822,0.000834822
23,3147.36,1.06974,0.68749,0.97885,0.7122,0.20327,0.22154,0.1611,1.05783,0.65194,0.98839,0.000806528,0.000806528,0.000806528
24,3313.51,1.05879,0.66254,0.9651,0.76714,0.16357,0.19125,0.1295,1.04188,0.66928,0.97817,0.000778233,0.000778233,0.000778233
25,3481.58,1.10489,0.68817,0.96516,0.87301,0.16927,0.19243,0.1329,1.02515,0.64167,0.97764,0.000749939,0.000749939,0.000749939
26,3649.63,1.06378,0.65065,0.97323,0.86885,0.17444,0.19226,0.13535,1.02523,0.63155,0.97641,0.000721645,0.000721645,0.000721645
27,3810.01,1.01635,0.62262,0.96727,0.85085,0.17456,0.20455,0.14463,1.02364,0.60316,0.96888,0.000693351,0.000693351,0.000693351
28,3965.07,1.04599,0.62596,0.96656,0.86461,0.16552,0.18977,0.12904,0.9941,0.62157,0.96046,0.000665057,0.000665057,0.000665057
29,4150.97,1.03599,0.61402,0.95512,0.66768,0.16794,0.20425,0.14615,1.03688,0.66705,0.98596,0.000636762,0.000636762,0.000636762
30,4296.75,1.04795,0.62786,0.96216,0.74394,0.19159,0.20423,0.14453,1.03869,0.67343,0.97931,0.000608468,0.000608468,0.000608468
31,4449.29,1.02265,0.60929,0.96065,0.63561,0.23541,0.23851,0.17245,1.05716,0.5964,0.97907,0.000580174,0.000580174,0.000580174
32,4611.32,1.03859,0.60326,0.9526,0.89524,0.14502,0.16668,0.12061,1.01758,0.59033,0.97634,0.00055188,0.00055188,0.00055188
33,4769.91,0.9855,0.58164,0.95163,0.81299,0.22594,0.2505,0.18146,0.99726,0.54929,0.96319,0.000523586,0.000523586,0.000523586
34,4939.59,1.00362,0.57454,0.94335,0.79,0.20668,0.23218,0.16515,1.00633,0.56924,0.96984,0.000495291,0.000495291,0.000495291
35,5089.89,1.01126,0.57934,0.94313,0.9032,0.18253,0.21157,0.15281,1.00548,0.55759,0.97,0.000466997,0.000466997,0.000466997
